1. Variable Scoping  		-- Done   -- (10-Apr-2024)
2. Template literals 		-- Done    -- (10-Apr-2024)
3. Ternary Operator 		-- Done	   -- (10-Apr-2024)
4. Destructuring 		-- Done	   -- (12-Apr-2024)
5. Default parameters 		-- Done	   -- (12-Apr-2024)
6. Rest parameter 		-- Done	   -- (12-Apr-2024)
7. Spread Operator 		-- Done	   -- (12-Apr-2024)
8. Map 			        -- Pending    
9. Array methods 		-- Inprogress 
10. Closures			-- Pending	
11. Arrow functions		-- Done	   -- (12-Apr-2024)
12. Enhanced object literals	-- Pending	  
13. Iterators & For..of		-- Pending	 
14. Generators			-- Pending	  
15. Modules			-- Pending	  
16. Higher-order function	-- Pending	  
17. CallBack			-- Pending	  
18. Promises			-- Pending	 
19. Exponentiation Operator	-- Pending	  
20. Classes			-- Pending	  
21. Optional chaining		-- Pending   	
